GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,BTV001,BTV002,BTV003,BTV004,BTV005,BTV006,BTV007,BTV008,BTV009,BTV010,BTV011,BTV012,BTV013,BTV014,BTV015,BTV016,BTV017,BTV018,BTV019,BTV020,BTV021,BTV022,BTV023,BTV024,BTV025,BTV026,BTV027,BTV028,BTV029,BTV030,BTV031,BTV032,BTV033,BTV034,BTV035,BTV036,BTV037,BTV038,BTV039,BTV040,BTV041,BTV042,BTV043,BTV044,BTV045,BTV046,BTV047,BTV048,BTV049,BTV050,BTV051,BTV052,BTV053,BTV054,BTV055,BTV056,BTV057,BTV058,BTV059,BTV060,BTV061,BTV062,BTV063,BTV064,BTV065,BTV066,BTV067,BTV068,BTV069,BTV070,BTV071,BTV072,BTV073,BTV074,BTW001
"G1900890","1936","Iowa","190","Howard","0890","Howard","31","890",0,0,39,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,1190,0,0,0,0,103,301,0,0,0,0,0,0,0,1151,0,0,0,0,0,233,0,118,0,0,5407,0,0,0,0,0,0,9214
"G1900910","1936","Iowa","190","Humboldt","0910","Humboldt","31","910",0,0,41,0,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,2200,329,552,0,0,0,0,0,0,1726,0,0,0,0,0,25,0,0,0,0,558,0,0,0,0,0,0,6376
"G1900930","1936","Iowa","190","Ida","0930","Ida","31","930",0,0,184,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,0,0,0,0,0,1285,0,0,0,0,0,0,0,515,0,0,0,0,0,511,0,0,0,0,491,0,0,0,0,0,0,3548
"G1900950","1936","Iowa","190","Iowa","0950","Iowa","31","950",0,0,1641,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,419,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,2379,0,0,0,0,0,0,0,1097,0,0,0,0,0,571,0,0,0,0,2477,0,0,0,0,0,0,9364
"G1900970","1936","Iowa","190","Jackson","0970","Jackson","31","970",0,0,496,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,100,0,0,0,0,0,0,0,0,0,0,104,2686,0,0,0,0,230,0,0,0,0,0,0,0,0,562,0,0,0,0,0,114,0,140,0,0,6185,0,0,0,0,0,0,11030
"G1900990","1936","Iowa","190","Jasper","0990","Jasper","31","990",0,0,1241,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,1368,0,0,439,45,0,0,0,0,0,96,0,0,0,72,198,0,0,0,0,0,0,0,0,325,0,0,0,0,3182,0,0,0,0,0,482,242,0,996,395,896,0,0,0,62,0,0,11288
"G1901010","1936","Iowa","190","Jefferson","1010","Jefferson","31","1010",0,0,237,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,613,0,0,0,0,0,0,0,0,0,416,0,0,0,0,220,228,0,0,0,0,59,0,0,302,0,0,0,0,2113,0,0,0,0,0,815,0,0,0,0,1102,0,0,0,33,0,0,6456
"G1901030","1936","Iowa","190","Johnson","1030","Johnson","31","1030",0,0,1209,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,438,0,0,226,146,0,0,0,0,0,0,0,130,0,0,432,0,0,0,0,0,153,0,0,436,0,0,0,0,1419,0,0,0,0,0,688,0,341,0,0,6424,0,0,0,97,0,0,12797
"G1901050","1936","Iowa","190","Jones","1050","Jones","31","1050",0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,110,0,0,241,0,0,0,0,0,0,0,0,0,0,43,2272,0,0,0,0,0,359,0,0,258,0,0,0,0,1201,0,0,0,0,0,995,0,27,0,0,1961,0,0,0,380,0,0,8377
"G1901070","1936","Iowa","190","Keokuk","1070","Keokuk","31","1070",0,0,1023,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1100,0,0,150,0,0,0,0,0,0,24,0,0,0,0,195,0,0,0,0,0,112,0,0,0,0,0,0,0,2252,0,0,0,0,0,290,186,26,0,0,2168,0,0,0,0,0,0,7959
"G1901090","1936","Iowa","190","Kossuth","1090","Kossuth","31","1090",0,0,419,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,238,61,0,0,0,0,0,0,0,0,0,0,590,740,0,0,0,180,2495,0,0,0,0,0,0,0,2488,0,0,0,0,0,973,0,0,0,278,5803,0,0,0,0,0,0,14920
"G1901110","1936","Iowa","190","Lee","1110","Lee","31","1110",0,0,1137,0,0,0,0,0,0,0,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,2035,0,0,1334,0,0,0,0,0,0,0,0,0,0,243,0,297,0,0,0,0,117,0,0,130,0,0,0,0,2260,0,0,0,0,0,1030,133,574,0,0,8263,0,0,0,0,0,0,19345
"G1901130","1936","Iowa","190","Linn","1130","Linn","31","1130",0,0,2734,0,0,0,0,0,0,0,1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,1529,0,0,123,962,0,0,0,0,0,0,0,735,0,78,0,275,0,0,0,0,1075,0,0,1186,0,0,0,0,7848,0,0,0,0,0,3471,644,543,0,0,9837,0,0,0,398,0,0,33585
"G1901150","1936","Iowa","190","Louisa","1150","Louisa","31","1150",0,0,230,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,117,0,0,27,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1824,0,0,0,0,0,385,110,0,0,0,86,0,0,0,52,0,0,3238
"G1901170","1936","Iowa","190","Lucas","1170","Lucas","31","1170",0,0,343,0,0,0,0,0,0,0,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,187,0,190,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,0,0,0,0,320,0,27,0,0,360,0,0,0,478,0,0,3571
